('Apple', 0.60, 52, 0.2, 0.3, 10.4),
('Apricot', 1.00, 48, 0.4, 0.5, 9.7),
('Avocado', 2.00, 160, 15, 2, 9),
('Banana', 0.40, 90, 0.3, 1, 22.8),
('Cantaloupe', 0.70, 34, 0.1, 0.4, 8.1),
('Grapefruit', 0.70, 42, 0.1, 0.5, 9.6),
('Honeydew melon', 0.60, 36, 0.1, 0.4, 9.5),
('Kiwi', 1.20, 49, 0.5, 1, 10),
('Lemon', 0.50, 29, 0.1, 0.3, 9),
('Lime', 0.50, 17, 0.1, 0.1, 4.7),
('Mango', 1.00, 60, 0.5, 0.7, 16),
('Orange', 0.60, 47, 0.1, 0.8, 11.2),
('Papaya', 0.70, 43, 0.1, 0.5, 10.4),
('Peach', 0.80, 49, 0.3, 0.6, 9.7),
('Pear', 0.70, 57, 0.2, 0.4, 11.8),
('Pineapple', 0.80, 50, 0.1, 0.1, 13),
('Plum', 0.80, 47, 0.1, 0.4, 9.7),
('Raspberry', 1.50, 53, 0.7, 1.2, 9.3),
('Strawberries', 1.50, 33, 0.3, 0.7, 7.7),
('Watermelon', 0.50, 30, 0.2, 0.6, 7.5),
('Blackberry', 1.50, 49, 0.7, 1.2, 9),
('Blueberries', 1.50, 57, 0.4, 0.8, 10),
('Cherries', 1.00, 50, 0.2, 0.8, 12),
('Grapes', 1.20, 69, 0.3, 0.9, 15.4),
('Black pepper', 0.50, 25, 0.7, 2.3, 2.4),
('Chili powder', 1.00, 290, 10, 4.5, 20),
('Garlic powder', 1.00, 380, 14, 5, 27),
('Ginger powder', 1.20, 340, 11, 4.4, 23),
('Salt', 0.20, 0, 0, 0, 0),
('Sesame seeds', 1.50, 500, 30, 10, 23),
('Cinnamon powder', 1.00, 250, 8, 2, 17),
('Cumin powder', 1.00, 300, 10, 3.8, 23),
('Oregano', 1.50, 270, 10, 4.5, 19),
('Parsley', 1.50, 25, 0.3, 2.5, 3.7),
('Rosemary', 1.50, 180, 1, 2, 15),
('Thyme', 1.50, 130, 1, 1.5, 11),
('Sugar', 0.50, 400, 0, 0, 100),
('Honey', 2.00, 300, 0, 0, 81),
('Maple syrup', 2.50, 260, 0, 0, 53),
('Soy sauce', 1.00, 80, 1, 3, 6),
('BBQ sauce', 1.00, 80, 0, 2, 17),
('Teriyaki sauce', 1.50, 90, 0, 2, 18),
('Honey mustard sauce', 1.50, 70, 2, 2, 15),
('Mayonnaise', 1.00, 700, 70, 0, 0),
('Ketchup', 0.50, 100, 0, 0, 20),
('Mustard', 1.00, 60, 0, 0, 10),
('Vinegar', 0.50, 0, 0, 0, 0),
('Olive oil', 2.00, 880, 90, 0, 0),
('Peanut oil', 2.00, 880, 90, 0, 0),
('Fish sauce', 1.50, 80, 0, 4, 6),
('Hoisin sauce', 1.50, 100, 10, 2, 18),
('Gochujang', 2.00, 150, 10, 3, 18),
('Tuna', 3.99, 110, 1.0, 24.0, 0.0),
('Salmon', 10.99, 180, 10.0, 20.0, 0.0),
('Chicken', 3.99, 165, 3.6, 31.0, 0.0),
('Beef', 4.99, 227, 20.0, 22.0, 0.0),
('Pork', 5.99, 140, 5.5, 26.0, 0.0),
('Lamb', 7.99, 230, 15.0, 25.0, 0.0),
('Duck', 14.99, 190, 12.0, 15.0, 0.0),
('Crab', 10.99, 85, 0.5, 17.0, 0.0),
('Shrimp', 12.99, 90, 0.5, 18.0, 0.0),
('Squid', 10.99, 100, 1.0, 18.0, 0.0),
('Mussels', 4.99, 70, 1.0, 11.0, 0.0),
('Octopus', 12.99, 80, 0.5, 1.0, 0.0),
('Milk', 0.75, 60, 4, 3.2, 5),
('Yogurt', 1, 100, 5, 5, 5),
('Mozzarella Cheese', 3, 110, 10, 8, 1),
('Butter', 2, 71, 80, 0, 0),
('Cream cheese', 2, 330, 22, 25, 2),
('Ice cream', 3, 200, 15, 5, 25),
('Whipped cream', 4, 240, 20, 3, 6),
('Egg', 0.5, 77, 5.3, 6.2, 0.6),
('Black beans', 0.7, 240, 2.4, 8.9, 40.4),
('Rice', 0.5, 130, 0.7, 2.8, 28.7),
('Tofu', 1.0, 76, 4.8, 8.0, 1.9),
('Miso', 1.0, 40, 1.0, 6.0, 9.0),
('Potato', 0.50, 77, 0.1, 1.9, 19.1),
('Carrot', 0.60, 41, 0.2, 0.9, 9.6),
('Onion', 0.30, 40, 0.1, 1.1, 9.3),
('Tomato', 0.70, 18, 0.2, 0.9, 3.9),
('Garlic', 1.00, 14, 0.6, 0.5, 10.2),
('Spring onion', 0.40, 33, 0.1, 0.9, 5.8),
('Seaweed', 2.00, 5, 0.1, 0.5, 9.3),
('Almonds', 2.99, 576, 49, 21, 22),
('Peanut', 1.99, 567, 49.2, 25.8, 16.1),
('Spinach', 0.89, 23, 0.4, 3.6, 4.3),
('Asparagus', 1.99, 20, 0.4, 2.2, 4.2),
('Broccoli', 1.49, 34, 0.4, 2.8, 6.6),
